area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,48,48,0.0,0.0,CALUMET HEIGHTS,0.0,48826241.5643,32925.3658706,18034.416884546383,-36250809.38324962,14896.551724138415,-30032993.103449263,16132.803334631331,-32407607.064982496,111287.9467185845,-224586736.7276036
0.0,49,49,0.0,0.0,ROSELAND,0.0,134313706.73,56632.7954292,25869.066111734744,-52125364.38238159,0.0,0.0,20521.97478634417,-41320779.927296855,40043.680331361546,-80752594.95458488
0.0,5,5,0.0,0.0,NORTH CENTER,0.0,57054167.85,31391.6697542,-28303.51680687949,57860371.941910066,3648.492665744181,-6931118.729361436,4517.461173455245,-7983185.737903546,7451.758673719687,-14343971.276118817
0.0,50,50,0.0,0.0,PULLMAN,0.0,59001555.602,35572.0695077,25743.963718004587,-51884730.71976358,41781.944824345876,-84289768.01397878,31384.526949039486,-63266781.57097184,6309.9748596923355,-12639084.653384227
0.0,51,51,0.0,0.0,SOUTH DEERING,0.0,303797059.66,80389.8718002,8677.827085124805,-17439659.04288872,-257999.99999962424,521361383.3325742,14287.530608470237,-28757103.822271455,-14330.20464111622,29046578.782001365
0.0,52,52,0.0,0.0,EAST SIDE,0.0,83241728.0493,52274.1928493,22343.34283117125,-44991325.923284724,17.697265380601202,35749.99999999999,23742.142162598153,-47813080.34912399,30231.290539894646,-60948398.920510955
0.0,53,53,0.0,0.0,WEST PULLMAN,0.0,99365198.0822,50023.8430008,15714.754710854411,-31633967.934733473,3114.186851211764,-6068771.626298973,15344.820981242907,-30885739.839041594,16149.074280106299,-32508903.53359283
0.0,54,54,0.0,0.0,RIVERDALE,0.0,98389497.4143,46455.4408571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,55,55,0.0,0.0,HEGEWISCH,0.0,145965741.437,73692.3821322,17635.13016217373,-35476580.19369997,0.0,0.0,16644.385381331456,-33471468.494838733,17665.652808203293,-35564294.19763716
0.0,56,56,0.0,0.0,GARFIELD RIDGE,0.0,117890778.429,60080.4479704,13706.200630550993,-27415793.189791422,30194.48214669759,-60874075.8557742,13382.315036269158,-26758066.336929128,22245.837387281757,-44618944.94338089
0.0,57,57,0.0,0.0,ARCHER HEIGHTS,0.0,55922505.7212,31880.0210295,10791.539332520764,-21554518.176516235,-9663.051353309578,19612135.9599326,23672.372834096674,-47585825.75616203,39937.242943730074,-80363369.09680383
0.0,58,58,0.0,0.0,BRIGHTON PARK,0.0,75892790.3114,36537.1343061,28645.320099962562,-57613989.76816698,801.1968970036874,-1415467.1864754793,17717.72939971838,-35544627.16659178,38177.07593638454,-76867389.97690584
0.0,60,60,0.0,0.0,BRIDGEPORT,0.0,58291519.2767,32732.7183268,-11431.34652558248,23523327.47166902,6580.017539859759,-13037354.296586331,-3945.940154859098,8471580.0488042,-44894.99649439902,91131291.3981875
0.0,61,61,0.0,0.0,NEW CITY,0.0,134636963.254,48133.595961,38498.127731697845,-77594032.48825453,11047.642358402412,-22134130.423738196,65075.213161248095,-131237497.6433234,28922.13381508601,-58275440.15415661
0.0,62,62,0.0,0.0,WEST ELSDON,0.0,32711091.4259,26229.6956007,11797.206042480593,-23610232.399021156,7077.734499869642,-14198272.542300394,19446.711007723075,-39061671.86178149,55992.64182247421,-112759921.91039427
0.0,63,63,0.0,0.0,GAGE PARK,0.0,61284896.1132,32294.1959107,11419.436225717918,-22855583.547622174,-9806.168018884826,19865514.929022513,17744.31401669082,-35647864.4049651,26770.702624479232,-53843964.04231921
0.0,64,64,0.0,0.0,CLEARING,0.0,71145192.3827,45363.2861749,15771.992788792993,-31620906.39958877,5296.402911726358,-10581014.891515955,24871.078167431373,-49978844.90117227,10805.09613417359,-21496171.652359385
0.0,65,65,0.0,0.0,WEST LAWN,0.0,82315301.6831,41934.4901309,16899.899862994604,-33920094.0277213,65505.40869549105,-132248142.39123137,11411.986566439708,-22830767.533699367,41523.71809784704,-83559189.54601353
0.0,66,66,0.0,0.0,CHICAGO LAWN,0.0,98279465.1151,40073.0998382,26288.421112345506,-52909640.35397641,-27607.361963205116,55846122.69941668,26197.190955484584,-52737503.02772866,38282.829341213284,-77102505.7776262
0.0,67,67,0.0,0.0,WEST ENGLEWOOD,0.0,87947691.9478,40195.2033069,41798.327453455124,-84341091.6557721,11.875048104940232,23999.999999999996,34891.75666322711,-70405662.50644746,55786.43869149458,-112572727.22150497
0.0,68,68,0.0,0.0,ENGLEWOOD,0.0,85652323.0826,42316.8442973,27959.83998178441,-56366161.771769226,46238.53211008257,-93311944.95410992,22988.38123782116,-46369341.309490666,33974.85722524823,-68498944.8553099
0.0,69,69,0.0,0.0,GREATER GRAND CROSSING,0.0,98853167.7093,54645.3302996,37195.535778612444,-74972535.85765508,-13687.699151094035,27697723.34072069,28483.53521202528,-57408849.721585564,46060.39748608752,-92860569.67579347
0.0,7,7,0.0,0.0,LINCOLN PARK,0.0,88316400.4728,49478.4277714,18435.45689501771,-36538310.4402516,10538.033852075567,-20771407.24314341,122107.8949013748,-244792439.97867355,-49077.72017951208,100125969.76060563
0.0,70,70,0.0,0.0,ASHBURN,0.0,135460337.208,54818.1546317,21751.298132999524,-43725689.086269915,7488.3012698029315,-15064442.327822788,15520.639903129002,-31141851.997470845,-21294.69280670068,43338361.434154116
0.0,71,71,0.0,0.0,AUBURN GRESHAM,0.0,105065353.602,46757.7217161,31445.048936343133,-63340437.94634662,14139.16795154329,-28544289.360160038,29635.460034853113,-59697259.98553589,65554.98332097995,-132198337.09063837
0.0,72,72,0.0,0.0,BEVERLY,0.0,88779363.9384,44591.4851009,26390.290003744245,-52966564.786002085,-16090.75340289714,32632480.2867498,33692.31286078445,-67710548.70343363,26201.041071248186,-52586146.39737673
0.0,73,73,0.0,0.0,WASHINGTON HEIGHTS,0.0,79635752.8769,42222.598163,24043.71130362294,-48385046.11546367,-87561.29032257173,176929590.3225626,19332.076446270356,-38872579.01361578,49177.61583710385,-99123495.47356029
0.0,74,74,0.0,0.0,MOUNT GREENWOOD,0.0,75584290.0209,48665.1305392,6244.480229967653,-12352683.968141105,28129.607722545115,-56697920.89211053,5255.900523345939,-10350376.117513642,899999.9999919772,-1818444999.9837866
0.0,75,75,0.0,0.0,MORGAN PARK,0.0,91877340.6988,46396.419362,12884.40523633675,-25820361.302489545,11249.770711820218,-22631822.482168306,26336.521497339705,-52983534.10430232,17578.44935743923,-35278490.982712395
0.0,76,76,0.0,0.0,OHARE,0.0,371835607.687,173625.98466,13112.253243194078,-26246707.402599458,3658.0440235845235,-7229275.246439561,-614.9011038137708,1627675.4046875893,-8732.759794152913,18157140.881693743
0.0,77,77,0.0,0.0,EDGEWATER,0.0,48449990.8397,31004.8309456,21827.74675434672,-43788211.914208405,27889.661178956496,-56100208.215284966,52886.604758172834,-106092022.71021797,-14351.982146486856,29665302.333921403
0.0,9,9,0.0,0.0,EDISON PARK,0.0,31636313.7864,25937.226841,-8418.724926192428,17383424.088077415,-4249.385787528492,8753242.352388762,858.5287699299608,-1277362.044090476,33097.30968514467,-66360115.1694035
