SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
,Single Family Residential,5207 S Laflin St,Chicago,IL,60609.0,252500.0,5.0,3.0,3100.0,3125.0,1885.0,180.0,81.0,,41.7992295,-87.6620666
,Condo/Co-op,401 N Wabash Ave Unit 67E,Chicago,IL,60611.0,2500000.0,3.0,4.0,3102.0,,2008.0,180.0,806.0,3284.0,41.8888012,-87.6263094
,Condo/Co-op,2000 N Lincoln Park West #1504,Chicago,IL,60614.0,270000.0,1.0,1.0,750.0,,1931.0,180.0,360.0,703.0,41.919924,-87.6366211
,Condo/Co-op,1701 W Webster Ave #205,Chicago,IL,60614.0,613900.0,2.0,2.0,1438.0,,2021.0,180.0,427.0,285.0,41.942504,-87.703487
,Condo/Co-op,118 E Erie St Unit 32G,Chicago,IL,60611.0,1899000.0,3.0,2.5,2874.0,,2012.0,180.0,661.0,4381.0,41.894296,-87.6246389
,Single Family Residential,6617 S Langley Ave,Chicago,IL,60637.0,449900.0,4.0,4.0,,3027.0,,180.0,,,41.7743326,-87.6079897
,Condo/Co-op,3750 N Lake Shore Dr Unit 7D,Chicago,IL,60613.0,525000.0,3.0,3.0,,,1926.0,180.0,,2246.0,41.9519345,-87.6453299
,Single Family Residential,8154 S Calumet Ave,Chicago,IL,60619.0,230000.0,4.0,3.0,2400.0,6440.0,1953.0,180.0,96.0,,41.7458309,-87.6167674
,Multi-Family (2-4 Unit),6338 S Throop St,Chicago,IL,60636.0,279000.0,6.0,2.0,,,1910.0,181.0,,,41.7784115,-87.657222
,Multi-Family (2-4 Unit),6816 S Aberdeen St,Chicago,IL,60621.0,85000.0,2.0,2.0,,3049.0,1895.0,181.0,,,41.7699471,-87.6520822
,Vacant Land,2858 W Chicago Ave,Chicago,IL,60622.0,625000.0,,,,4200.0,,181.0,,,41.895801,-87.6989532
,Parking,1464 S Michigan Ave Unit P214,Chicago,IL,60605.0,27500.0,,,,160.0,2006.0,181.0,,57.0,41.8622578,-87.624289
,Condo/Co-op,4745 S Indiana Ave #2,Chicago,IL,60615.0,395900.0,3.0,2.0,1700.0,,2023.0,181.0,233.0,236.0,41.8080614,-87.6207783
,Vacant Land,1428 E 70th St,Chicago,IL,60637.0,80000.0,,,,,,181.0,,,41.768111,-87.589746
,Multi-Family (2-4 Unit),4745 S Indiana Ave,Chicago,IL,60615.0,1130000.0,9.0,6.0,,4025.0,2023.0,181.0,,,41.8080614,-87.6207783
,Single Family Residential,34 E Bellevue Pl,Chicago,IL,60611.0,3800000.0,5.0,5.5,6500.0,2845.0,1885.0,181.0,585.0,,41.9018597,-87.6270254
,Condo/Co-op,1030 N State St Unit 34LM,Chicago,IL,60610.0,1075000.0,3.0,3.0,1800.0,,1971.0,181.0,597.0,1118.0,41.9015297,-87.6286369
,Multi-Family (2-4 Unit),725 W 69th St,Chicago,IL,60621.0,139000.0,7.0,2.0,,3125.0,,181.0,,,41.7687315,-87.6427208
,Single Family Residential,6926 S Justine St,Chicago,IL,60636.0,99900.0,4.0,1.5,1500.0,3125.0,1924.0,181.0,67.0,,41.767742,-87.6628933
,Multi-Family (2-4 Unit),3541 N Natoma Ave,Chicago,IL,60634.0,450000.0,3.0,1.0,,10018.0,1918.0,181.0,,,41.9449119,-87.7920454
,Condo/Co-op,208 W Washington St #1002,Chicago,IL,60606.0,219900.0,1.0,1.0,,,1927.0,181.0,,413.0,41.8833913,-87.6342966
,Condo/Co-op,880 N Lake Shore Dr Unit 14H,Chicago,IL,60611.0,225000.0,1.0,1.0,750.0,,1951.0,182.0,300.0,1658.0,41.8990893,-87.6189523
,Condo/Co-op,5415 N Sheridan Rd #3311,Chicago,IL,60640.0,299000.0,2.0,2.0,,,1973.0,182.0,,1052.0,41.9801211,-87.6543366
,Condo/Co-op,1030 N State St Unit 31K,Chicago,IL,60610.0,475000.0,1.0,1.0,850.0,,1972.0,182.0,559.0,606.0,41.9015297,-87.6286369
,Condo/Co-op,818 N Dearborn St Unit BF,Chicago,IL,60610.0,349000.0,2.0,2.0,900.0,,1890.0,182.0,388.0,281.0,41.897279,-87.6302369
,Vacant Land,4663 W West End Ave,Chicago,IL,60644.0,80000.0,,,,11250.0,,182.0,,,41.882747,-87.742649
,Condo/Co-op,189 E Lake Shore Dr #17,Chicago,IL,60611.0,4495000.0,5.0,5.5,8000.0,,1924.0,182.0,562.0,8388.0,41.9006532,-87.6222263
